Argument ID	Openness to change	Self-enhancement	Conservation	Self-transcendence
A01002	0	0	1	0
A01005	0	0	1	0
A01006	0	1	1	0
A01007	0	0	1	1
A01008	0	0	1	1
A01009	0	0	1	1
A01010	1	0	1	1
A01011	0	1	0	1
A01014	0	0	0	1
A01015	0	0	1	1
A01016	0	0	1	0
A01018	0	1	0	1
A01019	0	0	1	0
A01020	1	0	0	0
A02003	0	1	1	1
A02004	0	0	0	1
A02005	0	0	1	1
A02006	0	0	1	0
A02007	0	0	0	1
A02008	0	0	0	1
A02010	0	0	1	0
A02011	0	0	1	1
A02012	1	0	1	0
A02013	0	0	1	1
A02014	1	0	1	1
A02015	1	0	0	0
A02016	0	0	0	1
A02019	0	0	1	1
A02020	1	0	0	1
A03001	0	0	1	0
A03002	0	0	1	0
A03003	0	0	1	1
A03004	0	0	1	0
A03006	0	0	0	1
A03007	0	0	1	0
A03008	0	0	0	1
A03009	0	0	1	0
A03010	0	0	1	0
A03011	0	0	1	0
A03012	0	0	0	1
A03013	0	1	0	0
A03015	0	0	1	0
A03016	0	0	0	1
A03017	1	0	1	1
A03019	0	0	0	1
A04001	0	0	1	1
A04002	0	0	1	0
A04003	1	0	0	0
A04004	0	0	0	1
A04006	0	0	1	0
A04007	0	0	1	0
A04008	0	0	1	1
A04009	1	0	0	0
A04010	0	0	1	1
A04011	1	0	1	0
A04013	0	0	1	0
A04014	0	0	0	1
A04016	0	1	0	0
A04017	0	0	0	1
A04018	0	0	1	0
A04020	0	0	1	1
A05001	1	0	0	1
A05003	0	0	1	1
A05005	0	0	0	1
A05006	1	0	1	0
A05012	0	0	0	1
A05013	0	0	1	0
A05014	0	0	1	1
A05015	1	1	0	1
A05016	0	0	0	1
A05017	0	0	1	0
A05018	0	1	1	1
A05021	0	0	1	0
A05022	0	1	1	1
A05023	0	0	1	1
A05027	1	1	0	0
A05028	0	0	1	1
A05031	0	0	1	1
A05033	0	0	1	0
A05034	0	0	0	1
A05036	0	1	0	1
A05039	0	1	1	0
A05040	0	0	1	1
A05041	1	1	0	0
A05042	0	0	1	1
A05044	0	1	0	0
A05045	0	0	0	1
A05047	1	0	0	1
A05048	0	0	1	1
A05049	1	0	1	0
A05050	1	0	0	0
A05052	0	0	1	1
A05053	0	1	1	1
A05054	0	0	1	1
A05057	1	0	1	1
A05058	1	1	1	1
A05059	0	0	1	1
A05063	0	1	1	1
A05064	0	0	0	1
A05067	0	0	1	1
A05068	0	1	1	1
A05069	0	0	1	0
A05070	1	0	1	1
A05071	0	0	1	1
A05073	0	0	0	1
A05074	0	0	1	1
A05075	0	0	1	1
A05076	0	1	0	0
A05077	1	0	1	0
A05080	1	1	1	0
A05081	0	0	1	1
A05082	0	1	1	1
A05083	1	1	1	1
A05086	1	0	1	0
A05087	1	1	1	0
A05088	1	0	0	0
A05089	0	0	1	1
A05090	1	0	0	0
A05091	0	1	0	0
A05092	1	0	1	0
A05093	1	0	1	0
A05095	0	1	1	0
A05096	1	0	1	1
A05097	0	0	1	1
A05098	0	1	0	1
A05099	0	0	1	0
A06002	0	0	0	1
A06003	0	0	1	0
A06004	0	0	1	0
A06005	0	1	0	0
A06008	0	0	1	0
A06010	1	0	0	0
A06011	0	1	0	1
A06015	1	0	1	0
A06017	0	1	1	0
A06019	0	0	1	0
A06020	0	1	1	1
A07001	0	1	1	1
A07006	1	0	1	0
A07007	1	0	0	1
A07008	0	1	1	1
A07009	0	1	1	1
A07010	0	0	1	1
A07011	0	1	1	1
A07012	1	0	1	1
A07014	0	0	1	1
A07016	0	0	1	1
A07018	1	0	1	1
A07019	0	1	1	1
A07020	0	0	1	1
A07021	0	0	1	0
A07022	0	0	1	1
A07023	1	1	0	1
A07025	0	0	1	1
A07026	1	1	1	1
A07031	1	1	1	0
A07032	1	1	1	1
A07033	0	0	1	0
A07034	1	0	1	1
A07036	1	1	1	1
A07037	1	0	1	1
A07038	1	0	0	1
A07039	1	1	1	1
A07043	0	0	1	1
A07044	0	0	1	0
A07045	1	0	0	1
A07046	0	0	1	1
A07047	1	0	1	1
A07049	1	1	1	1
A07050	1	0	1	0
A07051	1	0	0	1
A07053	1	1	1	1
A07054	0	1	0	1
A07055	0	1	1	0
A07057	0	0	1	1
A07058	0	1	1	1
A07059	0	0	1	1
A07060	1	0	1	1
A07061	1	0	1	0
A07062	0	0	1	1
A07063	0	0	1	0
A07066	1	1	1	1
A07067	0	1	1	1
A07068	0	1	1	0
A07069	0	1	1	0
A07072	1	0	1	1
A07073	1	1	1	1
A07074	1	1	0	1
A07075	1	1	1	1
A07076	0	1	1	1
A07077	0	1	1	1
A07079	0	1	1	1
A07080	0	0	1	1
A07082	0	0	1	1
A07084	0	0	1	1
A07087	1	0	1	1
A07089	1	1	0	0
A07091	0	0	1	1
A07092	1	0	1	0
A07093	0	0	1	1
A07094	1	1	0	0
A07095	0	1	1	0
A07096	1	0	1	0
A07097	1	1	1	1
A07098	1	1	0	1
A08001	0	0	1	0
A08003	1	0	1	1
A08005	1	0	0	1
A08006	0	0	1	1
A08007	1	0	0	0
A08009	0	0	1	1
A08011	0	0	0	1
A08012	0	0	1	0
A08013	0	0	1	1
A08014	0	0	1	1
A08016	0	0	1	0
A08018	0	0	1	1
A08019	1	0	0	1
A08020	0	0	0	1
A09001	0	1	1	0
A09002	1	0	0	0
A09003	1	1	0	1
A09004	1	0	1	0
A09005	1	0	1	1
A09006	0	1	1	1
A09007	1	1	1	1
A09008	1	1	1	0
A09009	0	0	1	1
A09010	0	0	1	1
A09011	0	0	1	1
A09012	0	0	1	1
A09013	1	0	0	1
A09014	0	0	1	1
A09015	1	0	1	1
A09017	1	0	1	1
A09018	0	0	1	1
A09021	1	1	0	1
A09022	0	0	1	1
A09023	0	0	1	1
A09024	0	1	1	0
A09025	1	1	0	1
A09026	1	1	1	1
A09027	1	1	1	0
A09028	0	0	1	1
A09029	0	0	1	1
A09030	0	1	1	1
A09031	1	1	1	0
A09033	1	1	1	1
A09035	0	1	1	1
A09036	0	1	1	1
A09037	1	0	1	1
A09038	0	0	1	1
A09039	1	0	1	1
A09040	0	0	1	1
A09042	1	1	0	1
A09043	0	1	0	1
A09045	0	1	0	1
A09046	1	1	1	1
A09048	1	1	1	1
A09051	0	0	0	1
A09053	1	0	1	1
A09058	0	0	1	1
A09060	1	1	1	1
A09061	1	0	0	1
A09062	0	1	1	1
A09063	0	0	1	0
A09064	0	1	1	0
A09067	0	1	1	1
A09069	0	0	0	1
A09070	1	1	1	1
A09071	0	1	0	1
A09072	1	0	0	1
A09073	1	1	0	1
A09076	1	1	1	1
A09077	0	1	1	1
A09079	1	1	0	1
A09080	1	1	1	1
A09082	1	0	1	1
A09083	0	0	1	1
A09085	0	0	1	1
A09086	1	0	0	1
A09089	0	0	1	1
A09091	1	0	0	1
A09093	1	1	1	1
A09094	1	0	1	1
A09096	0	0	1	1
A09097	1	1	1	1
A09098	0	0	1	1
A09100	0	0	1	1
A10002	0	0	1	1
A10003	0	1	1	1
A10004	1	0	0	1
A10005	0	0	1	0
A10007	1	0	1	0
A10009	0	0	1	1
A10011	0	0	1	1
A10012	0	0	0	1
A10013	0	1	0	1
A10014	0	0	1	1
A10015	0	0	1	0
A10016	0	0	1	1
A10017	0	1	0	0
A10018	0	1	1	0
A10020	0	0	1	0
A12001	1	1	1	0
A12002	1	0	1	1
A12003	0	1	1	0
A12004	1	1	1	1
A12005	0	0	1	1
A12006	1	0	1	0
A12007	0	0	1	1
A12008	0	0	1	1
A12010	1	1	1	1
A12014	1	0	1	0
A12015	1	0	1	0
A12016	0	1	0	1
A12019	1	1	0	0
A12022	1	0	0	1
A12023	0	0	1	1
A12024	1	0	1	1
A12025	0	0	1	1
A12026	1	1	0	1
A12028	1	1	1	1
A12030	0	1	0	0
A12031	0	0	1	1
A12032	1	0	0	1
A12036	0	1	0	1
A12037	0	0	0	1
A12038	0	0	0	1
