Argument ID,Openness to change,Self-enhancement,Conservation,Self-transcendence
A26004,0,1,1,1
A26010,0,1,0,1
A26016,0,1,1,1
A26024,0,1,0,0
A26026,0,1,1,1
A26045,0,0,0,1
A26060,0,1,0,1
A26064,1,0,0,1
A26068,1,0,1,1
A26073,1,0,1,1
A26077,0,1,1,0
A26080,0,1,1,1
A26082,0,1,1,1
A26087,0,0,1,1
A27040,0,0,1,0
A27041,0,0,1,1
A27042,0,1,1,1
A27046,0,1,1,0
A27056,0,0,1,0
A27105,0,0,1,1
A27117,0,1,1,1
A27138,0,1,1,1
A27142,0,1,1,1
A27145,0,1,1,1
A27165,0,1,1,1
A27170,0,0,1,1
A27182,0,0,1,1
A27184,0,1,0,1
A27192,0,1,1,1
A27197,0,1,1,1
A27203,1,0,0,1
A27212,1,1,1,1
A27225,0,0,1,1
A27228,0,1,1,1
A27233,0,0,0,1
A27274,1,1,1,0
A27278,0,0,1,1
A27289,0,1,0,1
A27294,0,1,1,1
A27301,0,0,0,1
A27304,0,0,1,1
A27306,0,0,0,1
A27307,0,0,0,1
A27308,0,0,0,1
A27311,0,1,0,1
A27318,0,1,0,1
A27325,0,1,1,1
A27358,0,1,1,0
A27363,0,1,0,1
A27370,0,0,1,1
A27376,0,0,1,1
A27388,1,1,1,1
A27402,1,1,1,1
A27406,0,0,1,1
A27409,0,0,1,1
A27420,0,0,0,1
A27424,1,0,0,0
A27436,0,1,0,1
A27461,0,1,0,1
A27467,0,1,1,1
A27470,0,0,0,1
A27473,1,0,0,1
A27489,0,0,1,0
A27490,0,0,0,1
A27498,0,1,1,1
A27499,0,1,1,1
A28001,0,0,0,1
A28007,0,1,1,1
A28011,0,1,0,1
A28014,1,0,0,0
A28018,0,1,1,1
A28034,0,0,1,1
A28038,0,0,0,1
A28058,0,0,1,1
A28072,1,1,0,0
A28076,1,0,0,1
A28081,0,0,1,1
A28097,0,0,1,1
A28106,0,0,1,1
A28122,1,0,1,0
A28127,0,0,1,1
A28130,0,0,1,1
A28143,0,0,0,1
A28152,0,0,0,1
A28161,1,0,1,0
A28163,1,1,0,1
A28165,0,0,1,1
A28166,0,1,1,1
A28178,1,0,0,1
A28187,0,1,1,1
A28188,0,0,0,1
A28201,0,0,1,0
A28212,0,1,1,1
A28217,1,0,0,0
A28225,0,0,1,1
A28238,0,0,0,1
A28243,1,1,1,1
A28262,0,0,1,1
A28275,1,1,1,1
A28276,0,1,0,1
A28281,0,1,1,1
A28283,0,1,1,1
A28311,0,0,1,0
A28318,1,0,1,1
A28329,1,0,0,1
A28336,0,1,1,1
A28337,1,0,0,1
A28340,0,1,1,1
A28342,0,1,1,0
A28359,0,0,1,1
A28365,1,1,1,0
A28367,0,1,1,0
A28375,0,0,0,1
A28385,1,0,1,0
A28387,1,0,0,1
A28395,1,1,0,1
A28397,1,0,1,0
A28402,0,1,1,1
A28403,0,1,1,1
A28404,0,0,1,0
A28405,0,0,1,1
A28427,0,0,1,1
A28434,0,1,0,1
A28437,0,0,1,1
A28441,0,0,1,0
A28443,0,1,1,1
A28447,0,0,0,1
A28461,0,0,1,1
A28466,1,0,0,1
A28470,1,0,1,1
A28474,1,1,1,1
A28490,0,1,1,1
A29001,0,0,1,1
A29004,0,1,1,1
A29021,0,0,1,1
A29028,0,1,1,1
A29032,0,0,1,1
A29038,0,1,1,1
A29047,0,1,1,1
A29055,1,0,1,1
A29056,0,0,1,1
A29059,1,0,0,1
A29066,0,1,1,1
A29074,0,1,1,1
A29077,1,0,1,0
A29086,0,0,1,1
A29088,0,0,1,1
A29099,0,1,1,1
A29102,1,0,1,0
A29110,0,0,1,1
A29121,1,0,0,1
A29128,0,0,1,1
A29129,0,0,1,1
A29140,1,0,1,1
A29145,0,0,1,1
A29157,1,0,0,0
A29163,1,0,0,1
A29166,1,0,1,0
A29171,0,0,1,1
A29183,0,1,1,0
A29184,0,0,1,1
A29189,0,1,1,1
A29209,1,1,1,1
A29215,0,0,1,1
A29219,0,1,1,1
A29223,0,0,1,1
A29225,1,0,1,1
A29227,0,1,1,1
A29236,0,1,1,1
A29246,0,1,0,1
A29258,0,1,1,1
A29259,0,1,1,1
A29263,0,0,0,1
A29279,0,0,1,1
A29280,0,0,1,1
A29281,0,0,0,1
A29295,0,1,1,1
A29298,1,0,0,1
A29301,0,1,1,0
A29302,0,0,1,1
A29304,0,0,1,0
A29307,0,1,0,1
A29310,1,1,0,1
A29311,0,0,1,1
A29320,0,1,1,1
A29325,1,0,1,1
A29326,0,0,1,1
A29327,0,0,0,1
A29328,0,1,1,1
A29329,0,0,1,0
A29344,0,1,0,1
A29345,1,0,1,1
A29349,0,0,1,0
A29360,1,1,0,1
A29361,0,0,1,1
A29365,1,0,0,0
A29370,0,0,1,0
A29372,1,0,1,0
A29373,0,0,1,1
A29379,0,0,1,0
A29387,0,1,1,1
A29395,0,0,1,0
A29398,0,1,1,1
A29405,0,1,1,0
A29410,0,0,1,0
A29420,0,1,1,1
A29421,0,0,1,1
A29422,0,1,1,1
A29425,1,0,0,1
A29428,0,1,0,1
A29434,0,0,1,0
A29447,0,1,0,1
A29451,0,0,0,1
A29452,0,0,1,1
A29454,0,0,1,1
A29457,0,1,0,1
A29474,0,0,0,1
A29477,1,0,1,1
A29483,0,0,1,1
A29489,0,0,1,1
A29492,0,1,1,1
A29499,1,0,1,1
A30009,1,0,1,0
A30017,1,0,0,0
A30027,0,0,1,1
A30043,0,0,0,1
A30047,1,1,0,1
A30048,0,0,1,1
A30055,0,0,1,0
A30067,0,0,0,1
A30071,0,0,1,0
A30077,1,0,1,0
A30080,0,0,0,1
A30088,1,0,0,0
A30093,0,1,1,0
A30097,1,0,1,0
A30098,1,0,0,0
A30100,0,0,1,1
A30104,0,0,1,0
A30116,1,0,1,0
A30122,0,0,0,1
A30126,1,0,0,1
A30131,0,1,0,1
A30132,0,0,0,1
A30133,0,0,0,1
A30143,0,0,1,1
A30145,0,0,0,1
A30175,0,0,1,1
A30183,0,0,1,0
A30203,0,0,1,1
A30208,1,1,1,1
A30244,0,1,0,1
A30267,0,1,1,1
A30275,1,0,1,1
A30292,0,1,0,0
A30298,0,1,1,0
A30307,1,1,0,1
A30318,0,0,0,1
A30325,1,0,1,1
A30351,0,1,1,1
A30354,0,0,0,1
A30372,0,0,0,1
A30374,0,0,1,1
A30385,1,0,1,1
A30387,1,0,1,1
A30399,1,0,1,1
A31001,0,0,0,1
A31002,1,1,1,1
A31003,0,0,0,1
A31004,1,1,1,0
A31005,0,0,0,1
A31006,1,1,0,1
A31007,1,0,1,0
A31008,0,0,1,1
A31009,1,0,1,1
A31010,0,0,1,1
A31011,0,0,1,1
A31012,0,0,1,0
A31013,0,0,1,1
A31014,0,0,0,1
A31015,1,0,1,0
A31016,1,1,0,1
A31017,0,0,0,1
A31018,1,1,1,1
A31019,1,0,1,1
A31020,0,1,1,1
A31021,0,1,1,1
A31022,0,0,1,1
A31023,1,1,0,0
A31024,0,0,1,1
A31025,0,0,1,1
A31026,0,0,0,1
A31027,1,0,1,1
A31028,0,1,1,1
A31029,0,1,1,1
A31030,0,0,1,1
A31031,0,1,1,1
A31032,1,1,1,0
A31033,0,0,0,1
A31034,1,0,0,1
A31035,1,0,1,0
A31036,1,1,0,1
A31037,0,1,1,1
A31038,0,0,1,1
A31039,0,0,1,1
A31040,1,0,1,0
A31041,1,0,0,1
A31042,1,1,1,1
A31043,1,1,1,1
A31044,0,0,1,1
A31045,1,0,1,1
A31046,0,1,1,1
A31047,0,1,1,1
A31048,1,1,1,1
A31049,1,0,1,1
A31050,0,0,1,1
A31051,0,1,1,0
A31052,0,1,1,0
A31053,0,1,1,1
A31054,1,0,0,1
A31055,0,0,1,1
A31056,0,0,0,1
A31057,0,1,0,1
A31058,0,0,1,1
A31059,0,1,1,0
A31060,0,1,1,0
A31061,0,1,1,1
A31062,0,1,1,1
A31063,0,0,1,1
A31064,1,0,1,0
A31065,1,1,0,1
A31066,0,0,1,1
A31067,0,0,0,1
A31068,0,0,1,0
A31069,0,0,0,1
A31070,1,1,1,0
A31071,0,1,0,1
A31072,1,0,0,1
A31073,0,1,1,1
A31074,0,0,1,0
A31075,0,1,0,1
A31076,1,1,1,1
A31077,1,0,0,1
A31078,0,1,1,0
A31079,0,0,0,1
A31080,1,0,1,1
A31081,0,0,1,1
A31082,0,0,0,1
A31083,1,0,0,1
A31084,0,0,1,1
A31085,0,0,1,1
A31086,0,1,1,0
A31087,0,0,1,1
A31088,1,0,1,1
A31089,0,0,1,1
A31090,0,1,1,0
A31091,0,0,1,1
A31092,0,1,0,1
A31093,1,0,1,0
A31094,0,0,1,1
A31095,1,0,1,0
A31096,0,0,1,1
A31097,0,0,0,1
A31098,1,1,1,0
A31099,1,1,0,1
A31100,0,1,1,1
A31101,0,0,0,1
A31102,0,0,1,0
A31103,0,0,0,1
A31104,0,1,1,1
A31105,0,0,1,1
A31106,0,0,0,1
A31107,0,0,0,1
A31108,0,1,1,1
A31109,0,0,1,0
A31110,0,0,1,0
A31111,0,1,1,1
A31112,0,0,0,1
